code,descr
04.16.06.006-4,HISTERECTOMIA TOTAL AMPLIADA EM ONCOLOGIA
04.16.06.008-0,TRAQUELECTOMIA RADICAL EM ONCOLOGIA
04.16.06.009-9,VULVECTOMIA TOTAL AMPLIADA C/ LINFADENECTOMIA EM ONCOLOGIA
04.16.06.010-2,VULVECTOMIA PARCIAL EM ONCOLOGIA
04.16.06.011-0,HISTERECTOMIA COM OU SEM ANEXECTOMIA (UNI / BILATERAL) EM ONCOLOGIA
04.16.06.012-9,LAPAROTOMIA PARA AVALIAÇÃO DE TUMOR DE OVARIO EM ONCOLOGIA
04.16.08.001-4,EXCISÂO E ENXERTO DE PELE EM ONCOLOGIA
04.16.08.003-0,EXCISÃO E SUTURA COM PLASTICA EM Z NA PELE EM ONCOLOGIA
04.16.08.008-1,RECONSTRUÇÃO COM RETALHO MIOCUTÂNEO (QUALQUER PARTE) EM ONCOLOGIA
04.16.08.009-0,RECONSTRUÇÃO POR MICROCIRURGIA (QUALQUER PARTE) EM ONCOLOGIA
04.16.08.011-1,RECONSTRUÇÃO COM RETALHO OSTEOMIOCUTÂNEO EM ONCOLOGIA
04.16.08.012-0,EXTIRPAÇÃO MÚLTIPLA DE LESÃO DA PELE OU TECIDO CELULAR SUBCUTÂNEO EM ONCOLOGIA
04.16.09.001-0,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS INFERIORES EM ONCOLOGIA
04.16.09.002-8,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES EM ONCOLOGIA
04.16.09.003-6,HEMIPELVECTOMIA EM ONCOLOGIA
04.16.09.007-9,SACRALECTOMIA (ENDOPELVECTOMIA) EM ONCOLOGIA
04.16.09.010-9,RESSECÇÃO DE TUMOR ÓSSEO COM SUBSTITUIÇÃO (ENDOPRÓTESE) OU COM RECONSTRUÇÃO E FIXAÇÃO EM ONCOLOGIA
04.16.09.011-7,DESARTICULAÇÃO INTERESCAPULO-TORÁCICA EM ONCOLOGIA
04.16.09.012-5,DESARTICULAÇÃO ESCAPULO-TORÁCICA INTERNA EM ONCOLOGIA
04.16.09.013-3,RESSECÇÃO DE TUMOR DE PARTES MOLES EM ONCOLOGIA
04.16.11.001-0,LOBECTOMIA PULMONAR EM ONCOLOGIA
04.16.11.002-9,PNEUMOMECTOMIA RADICAL EM ONCOLOGIA
04.16.11.003-7,TORACECTOMIA COMPLEXA EM ONCOLOGIA
04.16.11.004-5,TORACECTOMIA SIMPLES EM ONCOLOGIA
04.16.11.005-3,TORACOTOMIA EXPLORADORA EM ONCOLOGIA
04.16.11.006-1,SEGMENTECTOMIA PULMONAR EM ONCOLOGIA
04.16.11.007-0,RESSECÇAO PULMONAR EM CUNHA EM ONCOLOGIA
04.16.11.008-8,TIMECTOMIA EM ONCOLOGIA
04.16.12.002-4,MASTECTOMIA RADICAL COM LINFADENECTOMIA AXILAR EM ONCOLOGIA
04.16.12.003-2,MASTECTOMIA SIMPLES EM ONCOLOGIA
04.16.12.004-0,RESSECÇÃO DE LESÃO NÃO PALPÁVEL DE MAMA COM MARCAÇÃO EM ONCOLOGIA (POR MAMA)
04.16.12.005-9,SEGMENTECTOMIA/QUADRANTECTOMIA/SETORECTOMIA DE MAMA EM ONCOLOGIA
04.17.01.001-0,ANESTESIA OBSTETRICA P/ CESARIANA
04.17.01.002-8,ANALGESIA OBSTETRICA P/ PARTO NORMAL
04.17.01.003-6,ANESTESIA OBSTETRICA P/CESARIANA EM GESTACAO DE ALTO RISCO
04.17.01.004-4,ANESTESIA GERAL
04.17.01.005-2,ANESTESIA REGIONAL
04.17.01.006-0,SEDACAO
04.18.01.001-3,CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTIA DE POLITETRAFLUORETILENO (PTFE)
04.18.01.002-1,CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTO AUTOLOGO
04.18.01.003-0,CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE
04.18.01.004-8,IMPLANTE DE CATETER DE LONGA PERMANÊNCIA P/ HEMODIALISE
04.18.01.005-6,IMPLANTE DE CATETER DUPLO LUMEN NA IRA (INCLUI CATETER)
04.18.01.006-4,IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE
04.18.01.007-2,IMPLANTE DE CATETER TENCKHOFF OU SIMILAR DE LONGA PERMANÊNCIA NA IRA (INCLUI CATETER)
04.18.01.008-0,IMPLANTE DE CATETER TIPO TENCKHOFF OU SIMILAR P/ DPA/DPAC
04.18.01.009-9,IMPLANTE DE CATETER TIPO TENCKOFF OU SIMILAR P/DPI
04.18.02.001-9,INTERVENCAO EM FISTULA ARTERIO-VENOSA
04.18.02.002-7,LIGADURA DE FISTULA ARTERIO-VENOSA
04.18.02.003-5,RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANÊNCIA
03.01.01.001-3,CONSULTA AO PACIENTE CURADO DE TUBERCULOSE (TRATAMENTO SUPERVISIONADO)
03.01.01.002-1,CONSULTA COM IDENTIFICAÇÃO DE CASOS NOVOS DE TUBERCULOSE
03.01.01.003-0,CONSULTA DE PROFISSIONAIS DE NÍVEL SUPERIOR NA ATENÇÃO PRIMÁRIA (EXCETO MÉDICO)
03.01.01.004-8,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO ESPECIALIZADA (EXCETO MÉDICO)
03.01.01.005-6,CONSULTA MEDICA EM SAUDE DO TRABALHADOR
03.01.01.006-4,CONSULTA MEDICA EM ATENÇÃO PRIMÁRIA
03.01.01.007-2,CONSULTA MEDICA EM ATENÇÃO ESPECIALIZADA
03.01.01.009-9,CONSULTA PARA AVALIAÇÃO CLÍNICA DO FUMANTE
03.01.01.010-2,CONSULTA PARA DIAGNÓSTICO/REAVALIAÇÃO DE GLAUCOMA (TONOMETRIA, FUNDOSCOPIA E CAMPIMETRIA)
03.01.01.011-0,CONSULTA PRÉ-NATAL
03.01.01.012-9,CONSULTA PUERPERAL
03.01.01.013-7,CONSULTA/ATENDIMENTO DOMICILIAR
03.01.01.014-5,PRIMEIRA CONSULTA DE PEDIATRIA AO RECEM-NASCIDO
03.01.01.015-3,PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMÁTICA
03.01.01.016-1,CONSULTA/ATENDIMENTO DOMICILIAR NA ATENÇÃO ESPECIALIZADA
03.01.01.017-0,CONSULTA/AVALIAÇÃO EM PACIENTE INTERNADO
03.01.01.019-6,AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 1-ANOMALIAS CONGÊNITAS OU DE MANIFESTAÇÃO TARDIA
03.01.01.020-0,AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 2- DEFICIÊNCIA INTELECTUAL
03.01.01.021-8,AVALIAÇÃO CLÍNICA DE DIAGNÓSTICO DE DOENÇAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO
03.01.01.022-6,ACONSELHAMENTO GENÉTICO
03.01.01.023-4,CONSULTA PRÉ-NATAL DO PARCEIRO
03.01.01.025-0,TELECONSULTA NA ATENÇÃO PRIMÁRIA
03.01.01.026-9,AVALIAÇÃO DO CRESCIMENTO NA PUERICULTURA
03.01.01.027-7,AVALIAÇÃO DO DESENVOLVIMENTO DA CRIANÇA NA PUERICULTURA
03.01.01.028-5,AVALIAÇÃO DO ESTÁGIO DE MATURAÇÃO SEXUAL
03.01.01.029-3,ATENDIMENTO DE ADOLESCENTES EM CUMPRIMENTO DE MEDIDAS SOCIOEDUCATIVAS
03.01.01.030-7,TELECONSULTA MÉDICA NA ATENÇÃO ESPECIALIZADA
03.01.01.031-5,TELECONSULTA POR PROFISSIONAIS DE NÍVEL SUPERIOR NA ATENÇÃO ESPECIALIZADA (EXCETO MÉDICO)
03.01.02.001-9,ACOMPANHAMENTO DE PACIENTE PORTADOR DE AGRAVOS RELACIONADOS AO TRABALHO
03.01.02.002-7,ACOMPANHAMENTO DE PACIENTE PORTADOR DE SEQUELAS RELACIONADAS AO TRABALHO
03.01.02.003-5,EMISSÃO DE PARECER SOBRE NEXO CAUSAL
03.01.03.001-4,SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULAÇÃO DAS URGÊNCIAS
03.01.03.002-2,ATENDIMENTO PRE-HOSPITALAR MOVEL (VEICULO DE INTERVENÇÃO RÁPIDA)
03.01.03.004-9,SAMU 192:ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO POR AEROMÉDICO
03.01.03.005-7,SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO POR EMBARCAÇÃO
03.01.03.006-5,ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE
03.01.03.007-3,ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE MEDICALIZADO
03.01.03.008-1,ATENDIMENTO PRE-HOSPITALAR MOVEL PELO SAMU 192: SALVAMENTO E RESGATE (AMBULANCIA TIPO C)
03.01.03.009-0,SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MÓVEL REALIZADO PELA EQUIPE DA UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA)
03.01.03.010-3,SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO PELA EQUIPE DE SUPORTE BASICO DE VIDA TERRESTRE (USB)
03.01.03.011-1,REGULACAO MEDICA DE URGENCIA DA CENTRAL SAMU 192 C/ ACIONAMENTO DE MULTIPLOS MEIOS
03.01.03.012-0,SAMU 192: ENVIO DE UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA) E/OU AQUATICO (EQUIPE DE EMBARCAÇÃO) E/OU EQUIPE DE AEROMEDICO.
03.01.03.013-8,SAMU 192: ENVIO DE UNIDADE DE SUPORTE BASICO DE VIDA TERRESTRE (USB) E/OU AQUATICO (EQUIPE DE EMBARCAÇÃO E/OU MOTOLÂNCIA
03.01.03.014-6,SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULAÇÃO DAS URGÊNCIAS COM ORIENTAÇÃO
03.01.03.015-4,REMOCAO EM AMBULANCIA DE SIMPLES TRANSPORTE (AMBULANCIA TIPO A)
03.01.03.016-2,ATENDIMENTO PRE-HOSPITALAR MOVEL - SAMU 192: SUPORTE AVANCADO DE VIDA REALIZADO POR EMBARCACAO (AMBULANCIA TIPO F)
03.01.03.017-0,SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA)
03.01.03.018-9,SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORET BASICO DE VIDA TERRESTRE (USB)
03.01.03.019-7,ATENDIMENTO PRÉ-HOSPITALAR MÓVEL (MOTOLÂNCIA)
03.01.04.001-0,ATENDIMENTO CLÍNICO PARA INDICAÇÃO E FORNECIMENTO DO DIAFRAGMA UTERINO
03.01.04.003-6,TERAPIA EM GRUPO
03.01.04.004-4,TERAPIA INDIVIDUAL
03.01.04.005-2,ATENDIMENTO MULTIPROFISSIONAL PARA ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLÊNCIA SEXUAL
03.01.04.006-0,COLETA DE VESTÍGIOS DE VIOLÊNCIA SEXUAL
03.01.04.007-9,ESCUTA INICIAL / ORIENTAÇÃO (ACOLHIMENTO A DEMANDA ESPONT NEA)
03.01.04.008-7,ATENDIMENTO EM GRUPO NA ATENÇÃO PRIMÁRIA
03.01.04.009-5,EXAME DO PÉ DIABÉTICO
03.01.04.014-1,INSERÇÃO DO DISPOSITIVO INTRA-UTERINO (DIU)
03.01.04.015-0,RETIRADA DO DISPOSITIVO INTRA-UTERINO (DIU)
03.01.05.001-5,ACOMPANHAMENTO E AVALIACAO DOMICILIAR DE PACIENTE SUBMETIDO À VENTILAÇÃO MECANICA NÃO INVASIVA - paciente/mês
03.01.05.002-3,ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL.
03.01.05.003-1,ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL NA ATENÇÃO ESPECIALIZADA
03.01.05.004-0,ASSISTENCIA DOMICILIAR TERAPEUTICA MULTIPROFISSIONAL EM HIV/AIDS (ADTM)
03.01.05.005-8,ASSISTÊNCIA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO
03.01.05.006-6,INSTALACAO / MANUTENCAO DE VENTILAÇÃO MECÂNICA NÃO INVASIVA DOMICILIAR
03.01.05.007-4,INTERNAÇÃO DOMICILIAR
03.01.05.008-2,ANTIBIOTICOTERAPIA PARENTERAL
03.01.05.009-0,ATENDIMENTO MEDICO COM FINALIDADE DE ATESTAR ÓBITO
03.01.05.010-4,VISITA DOMICILIAR PÓS ÓBITO
03.01.05.011-2,ADMINISTRAÇÃO DE IMUNODERIVADOS (ORAL E/OU PARENTERAL)
03.01.05.012-0,TERAPIA DE REIDRATAÇÃO PARENTERAL
03.01.05.013-9,BUSCA ATIVA
03.01.05.014-7,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL SUPERIOR
03.01.05.015-5,ACOMPANHAMENTO DE PACIENTE EM TERAPIA NUTRICIONAL
03.01.06.001-0,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA
03.01.06.002-9,ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA
03.01.06.003-7,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA
03.01.06.004-5,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM OBSERVAÇÃO ATÉ 8 HORAS
03.01.06.005-3,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM REMOÇÃO
03.01.06.006-1,ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA
03.01.06.007-0,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA
03.01.06.008-8,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA
03.01.06.009-6,ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO
03.01.06.010-0,ATENDIMENTO ORTOPÉDICO COM IMOBILIZAÇÃO PROVISÓRIA
03.01.06.011-8,ACOLHIMENTO COM CLASSIFICAÇÃO DE RISCO
03.01.07.001-6,ACOMPANHAMENTO DE PACIENTE C/ IMPLANTE COCLEAR
03.01.07.002-4,ACOMPANHAMENTO DE PACIENTE EM REABILITACAO EM COMUNICACAO ALTERNATIVA
03.01.07.003-2,ACOMPANHAMENTO DE PACIENTE P/ ADAPTACAO DE APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) UNI / BILATERAL
03.01.07.004-0,ACOMPANHAMENTO NEUROPSICOLÓGICO DE PACIENTE EM REABILITAÇÃO
03.01.07.005-9,ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO
03.01.07.006-7,ATENDIMENTO / ACOMPANHAMENTO EM REABILITAÇÃO NAS MULTIPLAS DEFICIÊNCIAS
03.01.07.007-5,ATENDIMENTO / ACOMPANHAMENTO DE PACIENTE EM REABILITACAO DO DESENVOLVIMENTO NEUROPSICOMOTOR
03.01.07.008-3,ATENDIMENTO EM OFICINA TERAPÊUTICA I PARA PORTADOR DE NECESSIDADES ESPECIAIS (POR OFICINA)
03.01.07.009-1,ATENDIMENTO EM OFICINA TERAPÊUTICA II PARA PORTADOR DE NECESSIDADES ESPECIAIS (POR OFICINA)
03.01.07.010-5,ATENDIMENTO/ACOMPANHAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (1 TURNO PACIENTE-DIA - 15 ATENDIMENTOS-MÊS)
03.01.07.011-3,TERAPIA FONOAUDIOLÓGICA INDIVIDUAL
03.01.07.012-1,TRATAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (1 TURNO PACIENTE- DIA - 20 ATENDIMENTOS-MÊS)
03.01.07.013-0,TRATAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (2 TURNOS PACIENTE-DIA - 20 ATENDIMENTOS-MÊS)
03.01.07.014-8,TREINO DE ORIENTAÇÃO E MOBILIDADE
03.01.07.015-6,AVALIAÇÃO MULTIPROFISSIONAL EM DEFICIÊNCIA VISUAL
03.01.07.016-4,ATENDIMENTO/ACOMPANHAMENTO EM REABILITAÇÃO VISUAL
03.01.07.017-2,MANUTENÇÃO DA PRÓTESE DE IMPLANTE COCLEAR
03.01.07.018-0,ACOMPANHAMENTO DE PACIENTE COM PRÓTESE AUDITIVA ANCORADA NO OSSO
03.01.07.019-9,ACOMPANHAMENTO DE PACIENTE COM IMPLANTE COCLEAR
03.01.07.020-2,ESTIMULAÇÃO PRECOCE PARA DESENVOLVIMENTO NEUROPSICOMOTOR
03.01.08.001-1,ABORDAGEM COGNITIVA COMPORTAMENTAL DO FUMANTE (POR ATENDIMENTO / PACIENTE)
03.01.08.002-0,ACOLHIMENTO NOTURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.003-8,ACOLHIMENTO EM TERCEIRO TURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.004-6,ACOMPANHAMENTO DE PACIENTE EM SAUDE MENTAL (RESIDENCIA TERAPEUTICA)
03.01.08.014-3,ATENDIMENTO EM OFICINA TERAPEUTICA I - SAUDE MENTAL
03.01.08.015-1,ATENDIMENTO EM OFICINA TERAPEUTICA II - SAUDE MENTAL
03.01.08.016-0,ATENDIMENTO EM PSICOTERAPIA DE GRUPO
03.01.08.017-8,ATENDIMENTO INDIVIDUAL EM PSICOTERAPIA
03.01.08.019-4,ACOLHIMENTO DIURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.020-8,ATENDIMENTO INDIVIDUAL DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.021-6,ATENDIMENTO EM GRUPO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.022-4,ATENDIMENTO FAMILIAR EM CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.023-2,ACOLHIMENTO INICIAL POR CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.024-0,ATENDIMENTO DOMICILIAR PARA PACIENTES DE CENTRO DE ATENÇÃO PSICOSSOCIAL E/OU FAMILIARES
03.01.08.025-9,AÇÕES DE ARTICULAÇÃO DE REDES INTRA E INTERSETORIAIS
03.01.08.026-7,FORTALECIMENTO DO PROTAGONISMO DE USUÁRIOS DE CENTRO DE ATENÇÃO PSICOSSOCIAL E SEUS FAMILIARES
03.01.08.027-5,PRÁTICAS CORPORAIS EM CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.028-3,PRÁTICAS EXPRESSIVAS E COMUNICATIVAS EM CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.029-1,ATENÇÃO ÀS SITUAÇÕES DE CRISE
03.01.08.030-5,MATRICIAMENTO DE EQUIPES DA ATENÇÃO BÁSICA
03.01.08.031-3,AÇÕES DE REDUÇÃO DE DANOS
03.01.08.032-1,ACOMPANHAMENTO DE SERVIÇO RESIDENCIAL TERAPÊUTICO POR CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.033-0,APOIO À SERVIÇO RESIDENCIAL DE CARÁTER TRANSITÓRIO POR CENTRO DE ATENÇÃO PSICOSSOCIAL
03.01.08.034-8,AÇÕES DE REABILITAÇÃO PSICOSSOCIAL
03.01.08.035-6,PROMOÇÃO DE CONTRATUALIDADE NO TERRITÓRIO
03.01.08.036-4,ACOMPANHAMENTO DE PESSOAS COM NECESSIDADES DECORRENTES DO USO DE ÁLCOOL, CRACK E OUTRAS DROGAS EM SERVIÇO RESIDENCIAL DE CARÁTER TRANSITÓRIO (COMUNIDADES TERAPÊUTICAS).
03.01.08.037-2,ACOMPANHAMENTO DE PESSOAS ADULTAS COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO USO DE CRACK, ÁLCOOL E OUTRAS DROGAS-UNIDADE DE ACOLHIMENTO ADULTO (UAA).
03.01.08.038-0,ACOMPANHAMENTO DA POPULAÇÃO INFANTO-JUVENIL COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO USO DE CRACK, ÁLCOOL E OUTRAS DROGAS-UNIDADE DE ACOLHIMENTO INFANTO-JUVENIL (UAI).
03.01.08.039-9,MATRICIAMENTO DE EQUIPES DOS PONTOS DE ATENÇÃO DA URGÊNCIA E EMERGÊNCIA, E DOS SERVIÇOS HOSPITALARES DE REFERÊNCIA PARA ATENÇÃO A PESSOAS COM SOFRIMENTO OU TRANSTORNOS MENTAIS E COM NECESSIDADES DE SAÚDE DECORRENTE DO USO DE ALCOOL, CRACK E OUTRAS D
03.01.09.001-7,ATENDIMENTO EM GERIATRIA (1 TURNO)
03.01.09.002-5,ATENDIMENTO EM GERIATRIA (2 TURNOS)
03.01.09.003-3,AVALIAÇÃO MULTIDIMENSIONAL DA PESSOA IDOSA
03.01.10.001-2,ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.
03.01.10.003-9,AFERIÇÃO DE PRESSÃO ARTERIAL
03.01.10.004-7,CATETERISMO VESICAL DE ALIVIO
03.01.10.005-5,CATETERISMO VESICAL DE DEMORA
03.01.10.006-3,CUIDADOS COM ESTOMAS
03.01.10.007-1,CUIDADOS C/ TRAQUEOSTOMIA
03.01.10.008-0,DETERMINACAO DE PRESSAO VENOSA CENTRAL (PVC)
03.01.10.009-8,ENEMA
03.01.10.010-1,INALAÇÃO / NEBULIZAÇÃO
03.01.10.011-0,IRRIGACAO VESICAL
03.01.10.012-8,LAVAGEM GASTRICA
03.01.10.013-6,ORDENHA MAMÁRIA
03.01.10.014-4,OXIGENOTERAPIA POR DIA
03.01.10.015-2,RETIRADA DE PONTOS DE CIRURGIAS (POR PACIENTE)
03.01.10.017-9,SONDAGEM GÁSTRICA
03.01.10.018-7,TERAPIA DE REIDRATAÇÃO ORAL
03.01.10.019-5,ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA ENDOVENOSA
03.01.10.020-9,ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA INTRAMUSCULAR
03.01.10.021-7,ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA ORAL
03.01.10.022-5,ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA SUBCUTÂNEA (SC)
03.01.10.023-3,ADMINISTRAÇÃO TÓPICA DE MEDICAMENTO(S)
03.01.10.024-1,ADMINISTRAÇÃO DE PENICILINA PARA TRATAMENTO DE SÍFILIS
03.01.10.025-0,AFERIÇÃO DE TEMPERATURA
03.01.10.026-8,PREPARAÇÃO PARA O ELETROCARDIOGRAMA
03.01.10.027-6,CURATIVO ESPECIAL
03.01.10.028-4,CURATIVO SIMPLES
03.01.11.001-8,ACOMPANHAMENTO DE PACIENTE MEDIO / GRANDE QUEIMADO
03.01.11.002-6,ACOMPANHAMENTO DE PACIENTE PEQUENO QUEIMADO
03.01.12.001-3,ACOMPANHAMENTO DE PACIENTE COM FENILCETONURIA
03.01.12.002-1,ACOMPANHAMENTO DE PACIENTE COM FIBROSE CÍSTICA
03.01.12.003-0,ACOMPANHAMENTO DE PACIENTE COM HEMOGLOBINOPATIAS
03.01.12.004-8,ACOMPANHAMENTO DE PACIENTE COM HIPOTIREOIDISMO CONGÊNITO
03.01.12.005-6,ACOMPANHAMENTO DE PACIENTE PÓS-CIRURGIA BARIÁTRICA POR EQUIPE MULTIPROFISSIONAL
03.01.12.006-4,ACOMPANHAMENTO EM SERVIÇO DE REFERÊNCIA EM TRIAGEM NEONATAL (SRTN) - HIPERPLASIA ADRENAL CONGÊNITA.
03.01.12.007-2,ACOMPANHAMENTO EM SERVIÇO DE REFERÊNCIA DE TRIAGEM NEONATAL (SRTN) PACIENTE COM DEFICIÊNCIA DE BIOTINIDASE
03.01.12.008-0,ACOMPANHAMENTO DE PACIENTE PRÉ-CIRURGIA BARIÁTRICA POR EQUIPE MULTIPROFISSIONAL
03.01.13.001-9,AVALIACAO CLINICA E ELETRONICA DE DISPOSITIVO ELETRICO CARDIACO IMPLANTAVEL
03.01.13.003-5,ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADO EXCLUSIVAMENTE PARA ATENDIMENTO CLINICO
03.01.13.004-3,ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADOR EXCLUSIVO NAS ETAPAS DO PRÉ E PÓS-OPERATÓRIO
03.01.13.005-1,ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTÁGIO 04 PRÉ DIÁLISE
03.01.13.006-0,ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTÁGIO 05 PRÉ DIÁLISE
03.01.14.001-4,ATENDIMENTO DE PACIENTE EM CUIDADOS PALIATIVOS
03.02.01.001-7,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ/PÓS CIRURGIAS UROGINECOLÓGICAS
03.02.01.002-5,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES C/ DISFUNÇÕES UROGINECOLÓGICAS
03.02.01.003-3,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NEONATO
03.02.02.001-2,ATENDIMENTO FISIOTERAPÊUTICO DE PACIENTE COM CUIDADOS PALIATIVOS
03.02.02.002-0,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE ONCOLÓGICO CLÍNICO
03.02.02.003-9,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ E PÓS CIRURGIA ONCOLÓGICA
03.02.03.001-8,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM ALTERAÇÕES OCULOMOTORAS CENTRAIS C/ COMPROMETIMENTO SISTÊMICO
03.02.03.002-6,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM ALTERAÇÕES OCULOMOTORAS PERIFÉRICAS
03.02.04.001-3,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS
03.02.04.002-1,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS
03.02.04.003-0,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO CLÍNICO CARDIOVASCULAR
03.02.04.004-8,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE PRÉ/PÓS CIRURGIA CARDIOVASCULAR
03.02.04.005-6,ATENDIMENTO FISIOTERAPÊUTICO NAS DISFUNÇÕES VASCULARES PERIFÉRICAS
03.02.05.001-9,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES NO PRÉ E PÓS-OPERATÓRIO NAS DISFUNÇÕES MÚSCULO ESQUELÉTICAS
03.02.05.002-7,ATENDIMENTO FISIOTERAPÊUTICO NAS ALTERAÇÕES MOTORAS
03.02.05.003-5,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES NO PRÉ E PÓS-OPERATÓRIO NAS DISFUNÇÕES MUSCULO- ESQUELETICAS C/ COMPLICAÇÕES SISTEMICAS
03.02.06.001-4,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM DISTÚRBIOS NEURO-CINÉTICO-FUNCIONAIS SEM COMPLICAÇÕES SISTÊMICAS
